date,year,month,dmi_labelled_index_value
1/05/2012,2012,5,-0.03
1/06/2012,2012,6,-0.89
1/07/2012,2012,7,-1.41
1/08/2012,2012,8,-1.09
1/09/2012,2012,9,-0.58
1/10/2012,2012,10,-0.36
1/11/2012,2012,11,-0.27
1/12/2012,2012,12,-0.37
1/01/2013,2013,1,-0.66
1/02/2013,2013,2,-0.52
1/03/2013,2013,3,0.03
1/04/2013,2013,4,0.39
1/05/2013,2013,5,-0.01
1/06/2013,2013,6,-0.84
1/07/2013,2013,7,-1.26
1/08/2013,2013,8,-0.93
1/09/2013,2013,9,-0.45
1/10/2013,2013,10,-0.25
1/11/2013,2013,11,-0.2
1/12/2013,2013,12,-0.35
1/01/2014,2014,1,-0.69
1/02/2014,2014,2,-0.57
1/03/2014,2014,3,-0.04
1/04/2014,2014,4,0.31
1/05/2014,2014,5,-0.03
1/06/2014,2014,6,-0.84
1/07/2014,2014,7,-1.24
1/08/2014,2014,8,-0.92
1/09/2014,2014,9,-0.47
1/10/2014,2014,10,-0.24
1/11/2014,2014,11,-0.15
1/12/2014,2014,12,-0.36
1/01/2015,2015,1,-0.69
1/02/2015,2015,2,-0.6
1/03/2015,2015,3,-0.1
1/04/2015,2015,4,0.31
1/05/2015,2015,5,-0.05
1/06/2015,2015,6,-0.73
1/07/2015,2015,7,-1
1/08/2015,2015,8,-0.79
1/09/2015,2015,9,-0.19
1/10/2015,2015,10,0.14
1/11/2015,2015,11,0.03
1/12/2015,2015,12,-0.36
1/01/2016,2016,1,-0.67
1/02/2016,2016,2,-0.64
1/03/2016,2016,3,-0.07
1/04/2016,2016,4,0.43
1/05/2016,2016,5,0.13
1/06/2016,2016,6,-0.71
1/07/2016,2016,7,-1.02
1/08/2016,2016,8,-0.71
1/09/2016,2016,9,-0.07
1/10/2016,2016,10,0.23
1/11/2016,2016,11,0.07
1/12/2016,2016,12,-0.39
1/01/2017,2017,1,-0.72
1/02/2017,2017,2,-0.67
1/03/2017,2017,3,-0.04
1/04/2017,2017,4,0.43
1/05/2017,2017,5,0.11
1/06/2017,2017,6,-0.8
1/07/2017,2017,7,-1.21
1/08/2017,2017,8,-0.82
1/09/2017,2017,9,-0.24
1/10/2017,2017,10,0.13
1/11/2017,2017,11,0.05
1/12/2017,2017,12,-0.38
1/01/2018,2018,1,-0.7
1/02/2018,2018,2,-0.63
1/03/2018,2018,3,-0.03
1/04/2018,2018,4,0.5
1/05/2018,2018,5,0.21
1/06/2018,2018,6,-0.71
1/07/2018,2018,7,-1.14
1/08/2018,2018,8,-0.68
